,LA_code,LA,year,TAD,netD,SR,AR,AH,IR,TD,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties,Demolition,LCHO Sales,Other Sales,Other sales to sitting tenants,Right to Buy,Sales to sitting tenants,total,SH,netS
0,E08000026,Coventry,1992,127.0,,102.0,0.0,25.0,,230,,,,,,,,,,,0,0,0,0,199.0,0,199.0,102.0,-97.0
1,E08000026,Coventry,1993,331.0,,231.0,0.0,100.0,,390,52710.0,36050.0,20880.0,7100.0,3600.0,2050.0,1130.0,160.0,,123680.0,0,0,0,0,123.0,0,123.0,231.0,108.0
2,E08000026,Coventry,1994,474.0,,378.0,0.0,96.0,,330,52930.0,36170.0,20710.0,7200.0,3520.0,1990.0,1080.0,150.0,,123750.0,0,0,0,0,136.0,0,136.0,378.0,242.0
3,E08000026,Coventry,1995,371.0,,271.0,0.0,100.0,,490,53430.0,36480.0,20490.0,7280.0,3550.0,1920.0,1040.0,150.0,,124340.0,0,0,0,0,144.0,0,144.0,271.0,127.0
4,E08000026,Coventry,1996,315.0,,203.0,0.0,112.0,,530,53650.0,36950.0,20270.0,7420.0,3580.0,1910.0,1040.0,150.0,,124960.0,0,0,0,0,117.0,0,117.0,203.0,86.0
5,E08000026,Coventry,1997,163.0,,86.0,0.0,77.0,,460,53860.0,37030.0,20180.0,7520.0,3640.0,1910.0,1050.0,150.0,,125350.0,0,0,0,0,144.0,0,144.0,86.0,-58.0
6,E08000026,Coventry,1998,211.0,,127.0,0.0,84.0,,410,54060.0,37150.0,20200.0,7640.0,3710.0,1940.0,1070.0,150.0,,125920.0,120,0,0,0,198.0,0,318.0,127.0,-191.0
7,E08000026,Coventry,1999,227.0,,193.0,0.0,34.0,,570,54130.0,37230.0,20210.0,7680.0,3750.0,1950.0,1080.0,150.0,,126190.0,0,0,0,0,180.0,0,180.0,193.0,13.0
8,E08000026,Coventry,2000,204.0,,190.0,0.0,14.0,,510,54110.0,37400.0,20310.0,7760.0,3810.0,1980.0,1110.0,160.0,,126630.0,0,0,0,0,298.0,0,298.0,190.0,-108.0
9,E08000026,Coventry,2001,100.0,,99.0,0.0,1.0,,340,54160.0,37570.0,20420.0,7840.0,3870.0,2010.0,1130.0,160.0,,127160.0,0,0,0,0,105.0,0,105.0,99.0,-6.0
10,E08000026,Coventry,2002,140.0,566.0,76.0,0.0,64.0,,,53750.0,37740.0,20510.0,7930.0,3930.0,2030.0,1140.0,160.0,,127200.0,0,0,0,0,0.0,0,0.0,76.0,76.0
11,E08000026,Coventry,2003,320.0,624.0,218.0,0.0,102.0,,810,53790.0,38000.0,20640.0,8010.0,3980.0,2060.0,1160.0,170.0,,127810.0,0,0,0,0,0.0,0,0.0,218.0,218.0
12,E08000026,Coventry,2004,111.0,-8.0,98.0,0.0,13.0,0.0,,53760.0,38130.0,20700.0,8090.0,4020.0,2080.0,1210.0,160.0,,128140.0,0,0,0,0,0.0,0,0.0,98.0,98.0
13,E08000026,Coventry,2005,174.0,308.0,131.0,0.0,43.0,0.0,,53470.0,38280.0,20860.0,8150.0,4060.0,2100.0,1250.0,160.0,,128330.0,0,0,0,0,0.0,0,0.0,131.0,131.0
14,E08000026,Coventry,2006,172.0,631.0,122.0,0.0,50.0,0.0,520,53530.0,38520.0,21050.0,8240.0,4100.0,2120.0,1270.0,160.0,,128970.0,0,0,0,0,0.0,0,0.0,122.0,122.0
15,E08000026,Coventry,2007,222.0,918.0,85.0,0.0,137.0,0.0,870,53870.0,38710.0,21200.0,8310.0,4150.0,2130.0,1320.0,160.0,,129830.0,0,0,0,0,0.0,0,0.0,85.0,85.0
16,E08000026,Coventry,2008,524.0,1133.0,291.0,0.0,233.0,0.0,1130,54190.0,39050.0,21370.0,8370.0,4200.0,2150.0,1350.0,160.0,,130840.0,0,0,0,0,0.0,0,0.0,291.0,291.0
17,E08000026,Coventry,2009,269.0,710.0,134.0,0.0,103.0,32.0,560,54560.0,39320.0,21560.0,8420.0,4210.0,2170.0,1360.0,160.0,,131760.0,0,0,0,0,0.0,0,0.0,134.0,134.0
18,E08000026,Coventry,2010,363.0,794.0,238.0,0.0,75.0,50.0,360,54760.0,39620.0,21730.0,8490.0,4220.0,2180.0,1370.0,170.0,,132520.0,0,0,0,0,0.0,0,0.0,238.0,238.0
19,E08000026,Coventry,2011,298.0,759.0,150.0,0.0,103.0,45.0,480,55250.0,39880.0,22020.0,8620.0,4240.0,2200.0,1380.0,170.0,,133740.0,0,0,0,0,0.0,0,0.0,150.0,150.0
20,E08000026,Coventry,2012,367.0,912.0,201.0,0.0,131.0,35.0,660,55570.0,40130.0,22220.0,8690.0,4260.0,2220.0,1370.0,170.0,,134620.0,76,10,16,0,0.0,21,123.0,201.0,78.0
21,E08000026,Coventry,2013,414.0,979.0,94.0,148.0,168.0,4.0,900,56010.0,40470.0,22340.0,8790.0,4330.0,2250.0,1370.0,170.0,,135720.0,82,10,20,0,0.0,34,146.0,242.0,96.0
22,E08000026,Coventry,2014,329.0,1089.0,75.0,126.0,105.0,23.0,790,56140.0,40760.0,22520.0,8900.0,4400.0,2270.0,1380.0,170.0,,136550.0,15,20,10,0,0.0,61,106.0,201.0,95.0
23,E08000026,Coventry,2015,407.0,1109.0,25.0,278.0,54.0,2.0,710,56640.0,41170.0,22810.0,9030.0,4490.0,2330.0,1390.0,170.0,,138020.0,31,18,18,0,0.0,79,146.0,303.0,157.0
24,E08000026,Coventry,2016,241.0,1406.0,68.0,45.0,127.0,0.0,830,56960.0,41420.0,23040.0,9140.0,4590.0,2330.0,1390.0,170.0,,139040.0,33,32,25,0,0.0,86,176.0,113.0,-63.0
25,E08000026,Coventry,2017,411.0,1129.0,72.0,159.0,51.0,6.0,900,57210.0,41750.0,23390.0,9410.0,4660.0,2340.0,1400.0,170.0,,140330.0,41,29,1,0,0.0,90,161.0,231.0,70.0
26,E08000026,Coventry,2018,223.0,1095.0,89.0,79.0,9.0,0.0,700,57740.0,42180.0,23670.0,9590.0,4700.0,2350.0,1400.0,170.0,,141800.0,22,36,27,0,0.0,78,163.0,168.0,5.0
27,E08000026,Coventry,2019,336.0,1499.0,27.0,246.0,0.0,27.0,710,57940.0,42540.0,23900.0,9740.0,4720.0,2350.0,1410.0,170.0,,142770.0,167,22,19,0,0.0,75,283.0,273.0,-10.0
28,E08000026,Coventry,2020,199.0,2241.0,15.0,111.0,0.0,0.0,1220,60100.0,42990.0,24380.0,10140.0,4840.0,2470.0,1410.0,180.0,,146500.0,0,24,38,0,0.0,163,225.0,126.0,-99.0
29,E08000026,Coventry,2021,163.0,589.0,0.0,154.0,0.0,0.0,570,60840.0,43270.0,24530.0,10280.0,4890.0,2490.0,1450.0,180.0,,147930.0,29,17,43,0,0.0,52,141.0,154.0,13.0
